ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZMAPIC1,mantpjdw,,,Piccadilly (Manchester Metrolink),,Piccadilly,,Piccadilly Rail Station,,Off Fairfield Street,,,,From City,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,384792,397848,-2.23060734085,53.47713726629,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,9,revise,active
9400ZZMAPIC2,mantpjdt,,,Piccadilly (Manchester Metrolink),,Piccadilly,,Piccadilly Rail Station,,Off Fairfield Street,,,,To Ashton,,,E0057786,Manchester City Centre,Manchester,,,,,,1,UKOS,384787,397834,-2.23068199204,53.4770112836,PLT,,,,,,147,2011-02-09T14:59:00,2021-04-16T09:27:13,6,revise,active
9400ZZMAPLL,mantwjgp,,,Peel Hall (Manchester Metrolink),,Peel hall,,Atlas Business Park,,Simonsway,,,,,,,E0029196,Peel Hall,Wythenshawe,,,,,,1,UKOS,383440,386344,-2.25036885262,53.37369326139,MET,,,,,,147,2014-09-12T11:50:00,2021-04-27T12:13:28,4,revise,active
9400ZZMAPLL1,mantwjgt,,,Peel Hall (Manchester Metrolink),,Peel hall,,Atlas Business Park,,Simonsway,,,,To Airport,,,E0029196,Peel Hall,Wythenshawe,,,,,,1,UKOS,383442,386349,-2.25033905574,53.37373826705,PLT,,,,,,147,2014-09-12T11:52:00,2021-04-16T09:27:13,4,revise,active
9400ZZMAPLL2,mantwjgw,,,Peel Hall (Manchester Metrolink),,Peel hall,,Atlas Business Park,,Simonsway,,,,To Manchester,,,E0029196,Peel Hall,Wythenshawe,,,,,,1,UKOS,383437,386342,-2.25041383809,53.3736751897,PLT,,,,,,147,2014-09-12T11:55:00,2021-04-16T09:27:13,4,revise,active
9400ZZMAPOM,mantmwat,,,Pomona (Manchester Metrolink),,Pomona,,,,Off Pomona Stand,,,,,,,N0075140,Salford Quays,Salford,,,,,,0,UKOS,381640,396530,-2.27802053768,53.46518945419,MET,,,,,,147,2006-10-24T00:00:00,2021-04-27T12:13:28,4,revise,active
9400ZZMAPOM1,mantpjgm,,,Pomona (Manchester Metrolink),,Pomona,,,,Off Pomona Stand,,,,To Manchester,,,N0075140,Salford Quays,Salford,,,,,,0,UKOS,381639,396532,-2.27803571786,53.46520739582,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
9400ZZMAPOM2,mantpjgj,,,Pomona (Manchester Metrolink),,Pomona,,,,Off Pomona Stand,,,,From Manchester,,,N0075140,Salford Quays,Salford,,,,,,0,UKOS,381640,396530,-2.27802053768,53.46518945419,PLT,,,,,,147,2011-02-09T15:01:00,2021-04-16T09:27:13,4,revise,active
9400ZZMAPWC,mantmwaw,,,Prestwich (Manchester Metrolink),,Prestiwich,,Longfield Centre,,Off Rectory Lane,,,,,,,E0029221,Prestwich,Bury,,,,,,1,UKOS,381418,404104,-2.28181592619,53.53325898392,MET,,,,,,147,2006-09-20T00:00:00,2021-04-27T12:13:28,4,revise,active
9400ZZMAPWC1,mantpjwj,,,Prestwich (Manchester Metrolink),,Prestiwich,,Longfield Centre,,Off Rectory Lane,,,,To Bury,,,E0029221,Prestwich,Bury,,,,,,1,UKOS,381414,404102,-2.28187615368,53.53324086506,PLT,,,,,,147,2005-10-10T00:00:00,2021-04-16T09:27:13,5,revise,active
