ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZWMPI,,,,Pipers Row (Midland Metro Stop),,,,,,Pipers Row,,,,,,,E0057945,Wolverhampton,,,,,,,1,UKOS,391778,298610,-2.1227781,52.5852367,MET,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMAS,,,,Albert Street (Midland Metro Stop),,,,,,Albert Street,,,,,,,E0057937,Birmingham,,,BIRMINGHAM,,,,1,UKOS,407402,286948,-1.89244,52.48041,MET,,,,,,147,2025-10-17T14:29:00,2025-10-17T13:13:00,0,new,active
9400ZZWMAS1,nwmwjgwj,,,Albert Street (Midland Metro Stop),,,,,,Albert Street,,,,Platform 1,,,E0057937,Birmingham,,,BIRMINGHAM,,,,1,UKOS,407399,286958,-1.892488,52.480494,PLT,,,,,,147,2025-10-17T14:29:00,2025-10-17T13:13:00,0,new,active
9400ZZWMAS2,nwmwjgwm,,,Albert Street (Midland Metro Stop),,,,,,Albert Street,,,,Platform 2,,,E0057937,Birmingham,,,BIRMINGHAM,,,,1,UKOS,407406,286943,-1.8923788,52.48036,PLT,,,,,,147,2023-10-17T14:29:00,2025-10-17T13:13:00,0,new,active
9400ZZWMGB,,,,Great Bridge (Midland Metro Stop),,,,,,Eagle Lane,,,,,,,E0031589,Great Bridge,West Bromwich,,WEDNESBURY,,TOLL END,,1,UKOS,397662,292760,-2.03589,52.5327,MET,,,,,,147,2025-10-16T14:29:00,2025-10-16T13:13:00,0,new,active
9400ZZWMGB1,nwmwjgwd,,,Great Bridge (Midland Metro Stop),,,,,,Eagle Lane,,,,Platform 1,,,E0031589,Great Bridge,West Bromwich,,WEDNESBURY,,TOLL END,,1,UKOS,397656,292768,-2.0359797,52.532769,PLT,,,,,,147,2025-10-16T14:29:00,2025-10-16T13:13:00,0,new,active
9400ZZWMGB2,nwmwjgwg,,,Great Bridge (Midland Metro Stop),,,,,,Eagle Lane,,,,Platform 2,,,E0031589,Great Bridge,West Bromwich,,WEDNESBURY,,TOLL END,,1,UKOS,397668,292757,-2.035812,52.532678,PLT,,,,,,147,2023-10-16T14:29:00,2025-10-16T13:13:00,0,new,active
9400ZZWMHR,,,,Horseley Road (Midland Metro Stop),,,,,,Horseley Road,,,,,,,E0031515,Dudley Port,Dudley,,TIPTON,,HORSELEY HEATH,,1,UKOS,397060,292281,-2.04476,52.52839,MET,,,,,,147,2025-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMHR1,nwmwjgtw,,,Horseley Road (Midland Metro Stop),,,,,,Horseley Road,,,,Platform 1,,,E0031515,Dudley Port,Dudley,,TIPTON,,HORSELEY HEATH,,1,UKOS,397055,292289,-2.0448369,52.528463,PLT,,,,,,147,2025-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMHR2,nwmwjgwa,,,Horseley Road (Midland Metro Stop),,,,,,Horseley Road,,,,Platform 2,,,E0031515,Dudley Port,Dudley,,TIPTON,,HORSELEY HEATH,,1,UKOS,397066,292276,-2.0446821,52.528349,PLT,,,,,,147,2023-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMDP,,,,Dudley Port (Midland Metro Stop),,,,,,Park Lane East,,,,,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396726,291931,-2.04968,52.52524,MET,,,,,,147,2025-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMDP1,nwmwjgtm,,,Dudley Port (Midland Metro Stop),,,,,,Park Lane East,,,,Platform 1,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396724,291939,-2.0497139,52.525317,PLT,,,,,,147,2025-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMDP2,nwmwjgtp,,,Dudley Port (Midland Metro Stop),,,,,,Park Lane East,,,,Platform 2,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396729,291926,-2.0496428,52.525196,PLT,,,,,,147,2023-10-15T14:29:00,2025-10-15T13:13:00,0,new,active
9400ZZWMSR,,,,Sedgley Road (Midland Metro Stop),,,,,,Sedgley Road East,,,,,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396076,291635,-2.05926,52.52258,MET,,,,,,147,2025-10-14T14:29:00,2025-10-14T13:13:00,0,new,active
9400ZZWMSR1,nwmwjgtg,,,Sedgley Road (Midland Metro Stop),,,,,,Sedgley Road East,,,,Platform 1,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396074,291645,-2.0592875,52.522666,PLT,,,,,,147,2025-10-14T14:29:00,2025-10-14T13:13:00,0,new,active
9400ZZWMSR2,nwmwjgtj,,,Sedgley Road (Midland Metro Stop),,,,,,Sedgley Road East,,,,Platform 2,,,E0031515,Dudley Port,Dudley,,TIPTON,,DUDLEY PORT,,1,UKOS,396078,291630,-2.0592293,52.522536,PLT,,,,,,147,2023-10-13T14:29:00,2025-10-13T13:13:00,0,new,active
9400ZZWMBN,,,,Birmingham New Road (Midland Metro Stop),,,,,,Birmingham New Road,,,,,,,E0057924,Dudley,,,TIPTON,,DUDLEY PORT,,1,UKOS,395482,291364,-2.06801,52.52014,MET,,,,,,147,2025-10-13T14:29:00,2025-10-13T13:13:00,0,new,active
9400ZZWMBN1,nwmwjgta,,,Birmingham New Road (Midland Metro Stop),,,,,,Birmingham New Road,,,,Platform 1,,,E0057924,Dudley,,,TIPTON,,DUDLEY PORT,,1,UKOS,395477,291375,-2.0680827,52.520234,PLT,,,,,,147,2025-10-13T14:29:00,2025-10-13T13:13:00,0,new,active
9400ZZWMBN2,nwmwjgtd,,,Tipton Road (Midland Metro Stop),,,,,,Tipton Road,,,,Platform 2,,,E0057924,Dudley,,,TIPTON,,DUDLEY PORT,,1,UKOS,395488,291361,-2.0679213,52.520108,PLT,,,,,,147,2023-10-13T14:29:00,2025-10-13T13:13:00,0,new,active
9400ZZWMTI,,,,Tipton Road (Midland Metro Stop),,,,,,Tipton Road,,,,,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,395156,291067,-2.07282,52.51746,MET,,,,,,147,2025-10-13T14:29:00,2025-10-13T13:13:00,0,new,active
9400ZZWMTI1,nwmwjgpt,,,Tipton Road (Midland Metro Stop),,,,,,Tipton Road,,,,Platform 1,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,395152,291076,-2.0728805,52.517543,PLT,,,,,,147,2025-10-13T14:29:00,2025-10-13T13:13:00,0,new,active
9400ZZWMTI2,nwmwjgpw,,,Tipton Road (Midland Metro Stop),,,,,,Tipton Road,,,,Platform 2,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,395161,291063,-2.0727449,52.517429,PLT,,,,,,147,2023-10-13T14:29:00,2025-10-13T13:13:00,0,new,active
9400ZZWMDC,,,,Dudley Castle (Midland Metro Stop),,,,,,Zoological Drive,,,,,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,394999,290848,-2.07513,52.51549,MET,,,,,,147,2025-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZWMDC1,nwmwjgpj,,,Dudley Castle (Midland Metro Stop),,,,,,Zoological Drive,,,,Platform 1,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,394993,290854,-2.0752136,52.515551,PLT,,,,,,147,2025-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZWMDC2,nwmwjgpm,,,Dudley Castle (Midland Metro Stop),,,,,,Zoological Drive,,,,Platform 2,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,395004,290845,-2.0750458,52.515468,PLT,,,,,,147,2023-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZWMDI,,,,Dudley Interchange (Midland Metro Stop),,,,,,Porters Field,,,,,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,394718,290326,-2.07925,52.5108,MET,,,,,,147,2025-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZWMDI1,nwmwjgpd,,,Dudley Interchange (Midland Metro Stop),,,,,,Porters Field,,,,Platform 1,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,394712,290330,-2.0793401,52.510838,PLT,,,,,,147,2025-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZWMDI2,nwmwjgpg,,,Dudley Interchange (Midland Metro Stop),,,,,,Porters Field,,,,Platform 2,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,394725,290325,-2.0791596,52.510791,PLT,,,,,,147,2023-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZWMFS,,,,Flood Street (Midland Metro Stop),,,,,,Flood Street,,,,,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,394557,290008,-2.08163,52.50794,MET,,,,,,147,2025-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZWMFS1,nwmwjgmw,,,Flood Street (Midland Metro Stop),,,,,,Flood Street,,,,Platform 1,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,394549,290012,-2.081736,52.507971,PLT,,,,,,147,2025-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZWMFS2,nwmwjgpa,,,Flood Street (Midland Metro Stop),,,,,,Flood Street,,,,Platform 2,,,E0057924,Dudley,,,DUDLEY,,,,1,UKOS,394561,290007,-2.0815587,52.507933,PLT,,,,,,147,2023-10-10T14:29:00,2025-10-10T13:13:00,0,new,active
9400ZZSYMAG,,,,Magna,,,,Magna Science & Adventure Centre,,Magna Way,,,,,,,E0030063,Canklow,Rotherham,,ROTHERHAM,,TEMPLEBOROUGH,,1,UKOS,440696,391666,-1.389087,53.420243,MET,,,,,,147,2025-09-04T14:29:00,2025-09-04T13:13:00,0,new,active
9400ZZSYMAG1,,,,Magna Platform 1,,,,Magna Science & Adventure Centre,,Magna Way,,,,Platform 1,,,E0030063,Canklow,Rotherham,,ROTHERHAM,,TEMPLEBOROUGH,,0,UKOS,440687,391657,-1.389258,53.42015,PLT,,,,,,147,2025-09-04T00:00:00,2025-09-04T10:35:00,0,new,active
9400ZZSYMAG2,,,,Magna Platform 1,,,,Magna Science & Adventure Centre,,Magna Way,,,,Platform 2,,,E0030063,Canklow,Rotherham,,ROTHERHAM,,TEMPLEBOROUGH,,0,UKOS,440702,391674,-1.389006,53.420305,PLT,,,,,,147,2025-09-04T00:00:00,2025-09-04T10:35:00,0,new,active
9400ZZWMWR,,,,Wolverhampton Station (Midland Metro Stop),,,,,,Railway Drive,,,,,,,E0057945,Wolverhampton,,,,,,,1,UKOS,391993,298832,-2.1196118,52.5872341,MET,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMPI1,nwmwjatw,,,Pipers Row (Midland Metro Stop),,,,,,Pipers Row,,,,Platform 1,,,E0057945,Wolverhampton,,,,,,,0,UKOS,391776,298608,-2.1228074,52.5852164,PLT,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMPI2,nwmwjawa,,,Pipers Row (Midland Metro Stop),,,,,,Pipers Row,,,,Platform 2,,,E0057945,Wolverhampton,,,,,,,0,UKOS,391781,298612,-2.1227444,52.5852473,PLT,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZWMWR1,nwmwjawd,,,Wolverhampton Station (Midland Metro Stop),,,,,,Railway Drive,,,,Platform 1,,,E0057945,Wolverhampton,,,,,,,0,UKOS,391997,298833,-2.119558,52.5872444,PLT,,,,,,147,2023-12-04T14:29:00,2024-01-05T13:13:00,1,revise,active
9400ZZALGWP,,,,IFS Cloud Greenwich Peninsula,,,,,,East Parkside,,,,,,,N0077702,North Greenwich,London,,,,,,0,UKOS,539500,179760,0.00833980739,51.49957304078,MET,,,,,,147,2012-03-21T14:29:00,2022-07-14T13:13:00,4,revise,active
9400ZZALGWP1,,,,IFS Cloud Greenwich Peninsula,,,,,,East Parkside,,,,,,,N0077702,North Greenwich,London,,,,,,0,UKOS,539502,179758,0.00836781161,51.49955457576,PLT,,,,,,147,2012-03-21T14:32:00,2022-07-14T13:16:00,4,revise,active
9400ZZALRDK,,,,IFS Cloud Royal Docks,,,,,,Western Gateway,,,,,,,N0077713,Royal Victoria,London,,,,,,0,UKOS,540121,180690,0.01764952393,51.50777644959,MET,,,,,,147,2012-03-21T14:19:00,2022-07-14T11:49:00,3,revise,active
9400ZZALRDK1,,,,IFS Cloud Royal Docks,,,,,,Western Gateway,,,,,,,N0077713,Royal Victoria,London,,,,,,0,UKOS,540121,180685,0.01764753895,51.50773152023,PLT,,,,,,147,2012-03-21T14:21:00,2022-07-14T11:50:00,3,revise,active
9400ZZARAIL,nwmwjgap,,,Birmingham Intl Rail Station (Air-Rail Link),,,,,,-,,,,,,,N0077792,Birmingham Airport,Solihull,,,,,,0,UKOS,418707,283647,-1.7261677803,52.4504660708,MET,,,,,,147,2013-10-15T16:06:00,2013-11-06T09:45:00,2,revise,active
9400ZZARAIL1,,,,Birmingham Intl Rail Station (Air-Rail Link),,,,,,-,,,,,,,N0077792,Birmingham Airport,Solihull,,,,,,0,UKOS,418706,283648,-1.72618243868,52.45047509473,PLT,,,,,,147,2013-10-15T16:07:00,2013-10-15T16:08:00,1,revise,active
9400ZZARAIR,nwmwgwpa,,,Birmingham International Airport (Air-Rail link),,,,,,-,,,,,,,N0077792,Birmingham Airport,Solihull,,,,,,0,UKOS,418292,283936,-1.7322583868,52.45307811794,MET,,,,,,147,2013-10-11T15:36:00,2013-11-06T09:45:00,2,revise,active
9400ZZARAIR1,,,,Birmingham International Airport (Air-Rail link),,,,,,-,,,,,,,N0077792,Birmingham Airport,Solihull,,,,,,0,UKOS,418291,283935,-1.73227315622,52.45306916131,PLT,,,,,,147,2013-10-11T15:37:00,2013-10-11T15:38:00,1,revise,active
9400ZZAVBIT,,,,Bitton (Avon Valley Railway),,,,,,-,,,,,,,E0053695,Bitton,,,,,,,0,UKOS,366990,170257,-2.47621449506,51.43034906652,MET,,,,,,147,2008-10-10T15:16:00,2008-10-10T16:43:00,1,revise,active
9400ZZAVOLD,,,,Oldland (Avon Valley Railway),,,,,,-,,,,,,,E0053716,Oldland,Kingswood,,,,,,0,UKOS,367616,171734,-2.46734584031,51.44366541037,MET,,,,,,147,2008-10-10T15:22:00,2008-10-10T16:44:00,1,revise,active
9400ZZBBHDK,,,,Horsted Keynes (Bluebell Railway),,,,,,-,,,,,,,E0052197,Horsted Keynes,,,,,,,0,UKOS,537160,129240,-0.0447197973,51.04614606508,MET,,,,,,147,2008-10-10T15:28:00,2009-01-02T12:52:00,2,revise,active
9400ZZBBHDK1,,,,Horsted Keynes (Bluebell Railway),,,,,,-,,,,,,,E0052197,Horsted Keynes,,,,,,,0,UKOS,537161,129241,-0.04470516225,51.04615481345,PLT,,,,,,147,2010-04-08T18:05:00,2010-04-08T18:13:00,1,revise,active
9400ZZBBKNG,,,,Kingscote (Bluebell Railway),,,,,,Vowels Lane,,,,,,,N0061435,Kingscote,,,,,,,0,UKOS,536744,135562,-0.04826144659,51.10306037565,MET,,,,,,147,2010-08-31T09:40:00,2010-08-31T09:42:00,1,revise,active
9400ZZBBKNG1,,,,Kingscote (Bluebell Railway),,,,,,Vowels Lane,,,,,,,N0061435,Kingscote,,,,,,,0,UKOS,536755,135562,-0.04810443106,51.10305775411,PLT,,,,,,147,2010-08-31T09:41:00,2010-08-31T09:42:00,1,revise,active
9400ZZBBSHF,,,,Sheffield Park (Bluebell Railway),,,,,,-,,,,,,,N0078091,Sheffield Park,,,,,,,0,UKOS,540320,123712,-0.00180698398,50.99570492882,MET,,,,,,147,2008-10-10T15:30:00,2008-10-10T16:52:00,1,revise,active
9400ZZBBSHF1,,,,Sheffield Park (Bluebell Railway),,,,,,-,,,,,,,N0078091,Sheffield Park,,,,,,,0,UKOS,540321,123713,-0.00179235715,50.99571367197,PLT,,,,,,147,2010-04-08T18:07:00,2010-04-08T18:13:00,1,revise,active
9400ZZBFSHA,,,,Shackerstone Rail Station (Battlefield Line),,,,,,-,,,,,,,E0047749,Shackerstone,,,,,,,0,UKOS,437910,306507,-1.44101661906,52.65497327126,MET,,,,,,147,2008-10-10T15:26:00,2010-04-01T16:10:00,2,revise,active
9400ZZBFSHE,,,,Shenton Rail Station (Battlefield Line),,,,,,-,,,,,,,E0016745,Shenton,,,,,,,0,UKOS,439665,300380,-1.41580767396,52.59977090332,MET,,,,,,147,2008-10-10T15:27:00,2010-04-01T16:11:00,2,revise,active
9400ZZBKBKH,,,,Birkhill (Bo’ness & Kinneil Railway),,,,,,Not Specified,,,,,,,ES000405,Boness,,,,,,,0,UKOS,296508,679062,-3.66071149897,55.99331600105,MET,,,,,,147,2007-02-06T11:15:00,2007-02-06T11:15:00,0,new,active
9400ZZBKBON,,,,Bo’ness (Bo’ness & Kinneil Railway),,,,,,Not Specified,,,,,,,ES000405,Boness,,,,,,,0,UKOS,300332,681714,-3.60041902567,56.01794436462,MET,,,,,,147,2007-02-06T11:15:00,2007-02-06T11:15:00,0,new,active
9400ZZBKKIN,,,,Kinneil (Bo’ness & Kinneil Railway),,,,,,Not Specified,,,,,,,ES000405,Boness,,,,,,,0,UKOS,298819,681411,-3.62456486338,56.01490585537,MET,,,,,,147,2007-02-06T11:15:00,2007-02-06T11:15:00,0,new,active
9400ZZBKMAN,,,,Manuel (Bo'ness & Kinneil Railway),,,,,,-,,,,,,,ES000405,Boness,,,,,,,0,UKOS,296676,677316,-3.65734836375,55.97767152931,MET,,,,,,147,2013-07-05T11:25:00,2013-07-05T11:25:00,0,new,active
9400ZZBLBAL,,,,Bala (Bala Lake Railway),,,,,,-,,,,,,,E0054264,Bala,,,,,,,0,UKOS,292971,334985,-3.59265947083,52.90161313948,MET,,,,,,147,2008-10-10T15:23:00,2008-10-10T16:45:00,1,revise,active
9400ZZBLLGW,,,,Llangower (Bala Lake Railway),,,,,,-,,,,,,,N0071233,Llangower,,,,,,,0,UKOS,290305,332136,-3.63131621707,52.87547496414,MET,,,,,,147,2008-10-10T15:24:00,2008-10-10T16:46:00,1,revise,active
9400ZZBLLWC,,,,Llanuwchllyn (Bala Lake Railway),,,,,,-,,,,,,,E0054305,Llanuwchllyn,,,,,,,0,UKOS,288044,330032,-3.66417146922,52.85610316491,MET,,,,,,147,2008-10-10T15:25:00,2008-10-10T16:47:00,1,revise,active
9400ZZBPAHM,,,,Anchorsholme (Blackpool Tramway),,,,"Anchorsholme Lane ",,Kelso Avenue,,,,,,,E0035271,Anchorsholme,Cleveleys,,,,,,0,UKOS,331536,442190,-3.04272571188,53.87138080078,MET,,,,,,147,2007-03-19T00:00:00,2012-04-02T12:26:00,1,revise,active
9400ZZBPAHM1,blpamdwd,,,Anchorsholme (Blackpool Tramway),,,,Anchorsholme Lane,,Kelso Avenue,,,,,,,E0035271,Anchorsholme,Cleveleys,,,,,,0,UKOS,331539,442190,-3.04268009442,53.8713811972,PLT,,,,,,147,2007-03-28T09:53:00,2012-04-02T12:27:00,3,revise,active
9400ZZBPAHM2,blpamgpw,,,Anchorsholme (Blackpool Tramway),,,,Anchorsholme Lane,,Kelso Avenue,,,,,,,E0035271,Anchorsholme,Cleveleys,,,,,,0,UKOS,331533,442190,-3.04277132934,53.87138040436,PLT,,,,,,147,2007-03-28T13:47:00,2012-04-02T12:28:00,1,revise,active
9400ZZBPBEA,,,,Beach Road (not in use) (Blackpool Tramway),,,,A587 Rossall Road,,Beach Road,,,,,,,E0016545,Cleveleys,,,,,,,0,UKOS,331801,443369,-3.03895884904,53.88201066476,MET,,,,,,147,2007-03-19T00:00:00,2012-04-04T11:56:00,1,revise,inactive
9400ZZBPBEA1,lanjtpgp,,,Beach Road (not in use) (Blackpool Tramway),,,,A587 Rossall Road,,Beach Road,,,,,,,E0016545,Cleveleys,,,,,,,0,UKOS,331810,443370,-3.03882218462,53.88202083616,PLT,,,,,,147,2007-03-28T15:46:00,2012-04-04T11:57:00,1,revise,inactive
9400ZZBPBEA2,lanjtmwm,,,Beach Road (not in use) (Blackpool Tramway),,,,A587 Rossall Road,,Beach Road,,,,,,,E0016545,Cleveleys,,,,,,,0,UKOS,331802,443369,-3.03894363935,53.88201079644,PLT,,,,,,147,2007-03-28T12:44:00,2012-04-04T11:57:00,2,revise,inactive
9400ZZBPBSH,,,,Bispham (Blackpool Tramway),,,,Queens Promenade,,Red Bank Road,,,,,,,E0035272,Bispham,Blackpool,,,,,,1,UKOS,330793,439751,-3.05347271645,53.84936440931,MET,,,,,,147,2007-03-19T00:00:00,2012-04-02T12:31:00,1,revise,active
9400ZZBPBSH1,blpamgad,,,Bispham (Blackpool Tramway),,,,Queens Promenade,,Red Bank Road,,,,,,,E0035272,Bispham,Blackpool,,,,,,1,UKOS,330791,439721,-3.0534963404,53.8490945517,PLT,,,,,,147,2007-03-28T10:18:00,2012-04-02T12:32:00,2,revise,active
9400ZZBPBSH2,blpamgtp,,,Bispham (Blackpool Tramway),,,,Queens Promenade,,Red Bank Road,,,,,,,E0035272,Bispham,Blackpool,,,,,,1,UKOS,330795,439781,-3.05344909222,53.84963426691,PLT,,,,,,147,2007-03-28T14:03:00,2012-04-02T12:32:00,1,revise,active
9400ZZBPBTN,,,,Barton Avenue (not in use) (Blackpool Tramway),,,,Promenade,,Barton Avenue,,,,,,,E0035294,Bloomfield,Blackpool,,,,,,0,UKOS,330595,434790,-3.05536041259,53.80475650224,MET,,,,,,147,2007-03-19T00:00:00,2012-04-04T11:57:00,1,revise,inactive
9400ZZBPBTN1,blpamgjw,,,Barton Avenue (not in use) (Blackpool Tramway),,,,Promenade,,Barton Avenue,,,,,,,E0035294,Bloomfield,Blackpool,,,,,,0,UKOS,330590,434790,-3.0554363208,53.80475583407,PLT,,,,,,147,2007-03-28T11:22:00,2012-04-04T11:57:00,1,revise,inactive
9400ZZBPBTN2,blpamjdp,,,Barton Avenue (not in use) (Blackpool Tramway),,,,Promenade,,Barton Avenue,,,,,,,E0035294,Bloomfield,Blackpool,,,,,,0,UKOS,330579,434786,-3.05560241564,53.80471841827,PLT,,,,,,147,2007-03-28T15:04:00,2012-04-04T11:58:00,1,revise,inactive
9400ZZBPBUT,,,,Burlington Road West (Blackpool Tramway),,,,South Promenade,,Burlington Road West,,,,,,,N0065096,South Shore,Blackpool,,,,,,0,UKOS,330372,432845,-3.05830565324,53.78724806499,MET,,,,,,147,2007-03-19T00:00:00,2012-04-02T12:30:00,1,revise,active
9400ZZBPBUT1,blpamgmt,,,Burlington Road West (Blackpool Tramway),,,,South Promenade,,Burlington Road West,,,,,,,N0065096,South Shore,Blackpool,,,,,,0,UKOS,330371,432829,-3.05831720873,53.78710414805,PLT,,,,,,147,2007-03-28T11:42:00,2012-04-02T12:33:00,2,revise,active
9400ZZBPBUT2,blpamjgm,,,Burlington Road West (Blackpool Tramway),,,,South Promenade,,Burlington Road West,,,,,,,N0065096,South Shore,Blackpool,,,,,,0,UKOS,330373,432861,-3.05829409769,53.78739198193,PLT,,,,,,147,2007-03-28T15:20:00,2012-04-02T12:33:00,1,revise,active
9400ZZBPBWR,,,,Broadwater (Blackpool Tramway),,,,Fleetwood Road,,The Crescent,,,,,,,E0016536,Broadwater,Fleetwood,,,,,,1,UKOS,332280,445800,-3.03221175565,53.90391933951,MET,,,,,,147,2007-03-19T00:00:00,2012-04-02T12:34:00,1,revise,active
9400ZZBPBWR1,lanjtmwa,,,Broadwater (Blackpool Tramway),,,,Fleetwood Road,,The Crescent,,,,,,,E0016536,Broadwater,Fleetwood,,,,,,1,UKOS,332295,445820,-3.0319879215,53.90410102892,PLT,,,,,,147,2007-03-28T12:38:00,2012-04-02T12:35:00,2,revise,active
9400ZZBPBWR2,lanjtpga,,,Broadwater (Blackpool Tramway),,,,Fleetwood Road,,The Crescent,,,,,,,E0016536,Broadwater,Fleetwood,,,,,,1,UKOS,332264,445780,-3.03245080548,53.9037375188,PLT,,,,,,147,2007-03-28T15:34:00,2012-04-02T12:36:00,1,revise,active
9400ZZBPCBN,,,,Cabin (Blackpool Tramway),,,,Queens Promenade,,Knowle Avenue,,,,,,,E0035292,North Shore,Blackpool,,,,,,0,UKOS,330687,438499,-3.05480074901,53.83809932837,MET,,,,,,147,2007-03-19T00:00:00,2012-04-02T12:38:00,2,revise,active
9400ZZBPCBN1,blpamjaw,,,Cabin (Blackpool Tramway),,,,Queens Promenade,,Knowle Avenue,,,,,,,E0035292,North Shore,Blackpool,,,,,,0,UKOS,330690,438499,-3.05475516791,53.8380997292,PLT,,,,,,147,2007-03-28T14:56:00,2012-04-02T12:37:00,1,revise,active
9400ZZBPCBN2,blpamgjd,,,Cabin (Blackpool Tramway),,,,Queens Promenade,,Knowle Avenue,,,,,,,E0035292,North Shore,Blackpool,,,,,,0,UKOS,330684,438500,-3.05484655604,53.83810791388,PLT,,,,,,147,2007-03-28T11:13:00,2012-04-02T12:38:00,2,revise,active
9400ZZBPCHR,,,,Church Street (not in use) (Blackpool Tramway),,,,Lord Street,,Church Street,,,,,,,E0016612,Freeport,Fleetwood,,,,,,0,UKOS,333793,447941,-3.00965141074,53.92335497289,MET,,,,,,147,2007-03-19T00:00:00,2012-04-04T11:58:00,1,revise,inactive
9400ZZBPCHR1,lanjtpdm,,,Church Street (not in use) (Blackpool Tramway),,,,Lord Street,,Church Street,,,,,,,E0016612,Freeport,Fleetwood,,,,,,0,UKOS,333794,447941,-3.00963618588,53.92335510092,PLT,,,,,,147,2007-03-28T13:03:00,2012-04-04T11:58:00,2,revise,inactive
9400ZZBPCHR2,lanjtpmd,,,Church Street (not in use) (Blackpool Tramway),,,,Lord Street,,Church Street,,,,,,,E0016612,Freeport,Fleetwood,,,,,,0,UKOS,333790,447944,-3.0096977361,53.92338154788,PLT,,,,,,147,2007-03-28T16:05:00,2012-04-04T11:59:00,1,revise,inactive
9400ZZBPCKR,,,,Cocker Street (not in use) (Blackpool Tramway),,,,Queens Promenade,,Cocker Street,,,,,,,E0057144,Blackpool,,,,,,,0,UKOS,330618,436782,-3.0554610267,53.82266049305,MET,,,,,,147,2007-03-19T00:00:00,2012-04-04T11:59:00,1,revise,inactive
9400ZZBPCKR1,blpamgag,,,Cocker Street (not in use) (Blackpool Tramway),,,,Queens Promenade,,Cocker Street,,,,,,,E0057144,Blackpool,,,,,,,0,UKOS,330619,436782,-3.05544583858,53.82266062672,PLT,,,,,,147,2007-03-28T10:20:00,2012-04-04T11:59:00,2,revise,inactive
9400ZZBPCKR2,blpamgtw,,,Cocker Street (not in use) (Blackpool Tramway),,,,Queens Promenade,,Cocker Street,,,,,,,E0057144,Blackpool,,,,,,,0,UKOS,330607,436791,-3.05563012955,53.82273990006,PLT,,,,,,147,2007-03-28T14:04:00,2012-04-04T11:59:00,1,revise,inactive
9400ZZBPCLH,,,,Cliffs Hotel (Blackpool Tramway),,,,Queens Promenade,,King Edward Avenue,,,,,,,E0035292,North Shore,Blackpool,,,,,,0,UKOS,330676,438259,-3.05491365689,53.83594112964,MET,,,,,,147,2007-03-19T00:00:00,2015-03-25T15:08:00,3,revise,active
