"StationName","NaptanCode","HubNaptan","Latitude","Longitude","Lift","SameLevel","Interchange","FareZones","Wifi"
"Morden Underground Station","940GZZLUMDN","",51.402142,-0.194839,2,FALSE,0,"4",TRUE
"Mornington Crescent Underground Station","940GZZLUMTC","",51.534679,-0.138789,0,FALSE,0,"2",TRUE
"Neasden Underground Station","940GZZLUNDN","",51.553986,-0.249837,0,FALSE,0,"3",TRUE
"New Cross ELL Rail Station","910GNWCRELL","HUBNWX",51.476344,-0.032441,0,FALSE,0,"2",FALSE
"New Cross Gate Rail Station","910GNEWXGTE","HUBNXG",51.475128,-0.040399,2,FALSE,0,"2",FALSE
"Newbury Park Underground Station","940GZZLUNBP","",51.575726,0.090004,2,FALSE,0,"4",TRUE
"Nine Elms Underground Station","940GZZNEUGST","",51.479912,-0.128476,1,FALSE,0,"1",TRUE
"North Acton Underground Station","940GZZLUNAN","",51.523524,-0.259755,0,FALSE,0,"2|3",TRUE
"North Ealing Underground Station","940GZZLUNEN","",51.517505,-0.288868,0,FALSE,0,"3",TRUE
"North Greenwich Underground Station","940GZZLUNGW","HUBNGW",51.50047,0.004287,3,FALSE,0,"2|3",TRUE
"North Harrow Underground Station","940GZZLUNHA","",51.584872,-0.362408,0,FALSE,0,"5",TRUE
"North Wembley Rail Station","910GNWEMBLY","HUBNWB",51.562596,-0.303984,0,FALSE,0,"4",FALSE
"North Wembley Underground Station","940GZZLUNWY","HUBNWB",51.562551,-0.304,0,FALSE,0,"4",FALSE
"Northfields Underground Station","940GZZLUNFD","",51.499319,-0.314719,0,FALSE,0,"3",TRUE
"Northolt Underground Station","940GZZLUNHT","",51.548236,-0.368699,0,FALSE,0,"5",TRUE
"Northwick Park Underground Station","940GZZLUNKP","",51.578481,-0.318056,0,FALSE,0,"4",TRUE
"Northwood Hills Underground Station","940GZZLUNWH","",51.600572,-0.409464,0,FALSE,0,"6",TRUE
"Northwood Underground Station","940GZZLUNOW","",51.611053,-0.423829,0,FALSE,0,"6",TRUE
"Norwood Junction Rail Station","910GNORWDJ","HUBNWD",51.397019,-0.075221,0,FALSE,0,"4",FALSE
"Notting Hill Gate Underground Station","940GZZLUNHG","",51.509128,-0.196104,0,FALSE,0,"1|2",TRUE
"Oakwood Underground Station","940GZZLUOAK","",51.647726,-0.132182,1,FALSE,0,"5",TRUE
"Old Street Underground Station","940GZZLUODS","HUBOLD",51.525864,-0.08777,0,FALSE,0,"1",TRUE
"Osterley Underground Station","940GZZLUOSY","",51.481274,-0.352224,2,FALSE,0,"4",TRUE
"Oval Underground Station","940GZZLUOVL","",51.48185,-0.112439,0,FALSE,0,"2",TRUE
"Oxford Circus Underground Station","940GZZLUOXC","",51.515224,-0.141903,0,FALSE,0,"1",TRUE
"Paddington","910GPADTLL","HUBPAD",51.516449,-0.177107,10,FALSE,1,"1",TRUE
"Paddington (H&C Line)-Underground","940GZZLUPAH","HUBPAD",51.518187,-0.178306,10,FALSE,1,"1",TRUE
"Paddington Underground Station","940GZZLUPAC","HUBPAD",51.516581,-0.175689,10,FALSE,1,"1",TRUE
"Park Royal Underground Station","940GZZLUPKR","",51.527123,-0.284341,0,FALSE,0,"3",TRUE
"Parsons Green Underground Station","940GZZLUPSG","",51.475277,-0.20117,0,FALSE,0,"2",TRUE
"Peckham Rye Rail Station","910GPCKHMRY","",51.470034,-0.069414,0,FALSE,0,"2",FALSE
"Penge West Rail Station","910GPENEW","",51.417555,-0.06084,0,FALSE,0,"4",TRUE
"Perivale Underground Station","940GZZLUPVL","",51.536717,-0.323446,0,FALSE,0,"4",TRUE
"Piccadilly Circus Underground Station","940GZZLUPCC","",51.51005,-0.133798,0,FALSE,0,"1",TRUE
"Pimlico Underground Station","940GZZLUPCO","",51.489097,-0.133761,0,FALSE,0,"1",TRUE
"Pinner Underground Station","940GZZLUPNR","",51.592901,-0.381161,2,FALSE,0,"5",TRUE
"Plaistow Underground Station","940GZZLUPLW","",51.531341,0.017451,0,FALSE,0,"3",TRUE
"Preston Road Underground Station","940GZZLUPRD","",51.571972,-0.295107,0,FALSE,0,"4",TRUE
"Putney Bridge Underground Station","940GZZLUPYB","",51.468262,-0.208731,0,FALSE,0,"2",FALSE
"Queen's Park Underground Station","940GZZLUQPS","HUBQPW",51.534158,-0.204574,0,FALSE,0,"2",TRUE
"Queens Park (London) Rail Station","910GQPRK","HUBQPW",51.533966,-0.204985,0,FALSE,0,"2",TRUE
"Queens Road Peckham Rail Station","910GPCKHMQD","",51.473566,-0.057313,1,FALSE,0,"2",TRUE
"Queensbury Underground Station","940GZZLUQBY","",51.594188,-0.286219,0,FALSE,0,"4",TRUE
"Queensway Underground Station","940GZZLUQWY","",51.510312,-0.187152,0,FALSE,0,"1",TRUE
"Ravenscourt Park Underground Station","940GZZLURVP","",51.494122,-0.235881,0,FALSE,0,"2",TRUE
"Rayners Lane Underground Station","940GZZLURYL","",51.575147,-0.371127,0,FALSE,2,"5",TRUE
"Reading Rail Station","910GRDNGSTN","",51.458786,-0.971863,5,FALSE,0,"Outside",FALSE
"Rectory Road Rail Station","910GRCTRYRD","",51.558502,-0.068267,0,FALSE,0,"2",TRUE
"Redbridge Underground Station","940GZZLURBG","",51.576243,0.04536,0,FALSE,0,"4",TRUE
"Regent's Park Underground Station","940GZZLURGP","",51.523344,-0.146444,0,FALSE,0,"1",TRUE
"Richmond (London) Rail Station","910GRICHMND","HUBRMD",51.463061,-0.301558,2,FALSE,1,"4",TRUE
"Richmond Underground Station","940GZZLURMD","HUBRMD",51.463237,-0.301336,2,FALSE,1,"4",TRUE
"Rickmansworth Underground Station","940GZZLURKW","HUBRIC",51.640207,-0.473703,0,FALSE,0,"7",TRUE
"Roding Valley Underground Station","940GZZLURVY","",51.617199,0.043647,0,FALSE,2,"4",TRUE
"Romford Rail Station","910GROMFORD","",51.574829,0.183237,2,FALSE,0,"6",TRUE
"Rotherhithe Rail Station","910GRTHERHI","",51.500817,-0.052048,0,FALSE,0,"2",FALSE
"Royal Oak Underground Station","940GZZLURYO","",51.519113,-0.188748,0,FALSE,0,"2",TRUE
"Ruislip Gardens Underground Station","940GZZLURSG","",51.560736,-0.41071,0,FALSE,0,"5",FALSE
"Ruislip Manor Underground Station","940GZZLURSM","",51.573202,-0.412973,0,FALSE,0,"6",TRUE
"Ruislip Underground Station","940GZZLURSP","",51.571354,-0.421898,0,FALSE,1,"6",TRUE
"Russell Square Underground Station","940GZZLURSQ","",51.523073,-0.124285,0,FALSE,0,"1",TRUE
"Seven Kings Rail Station","910GSVNKNGS","",51.564026,0.0971,3,FALSE,0,"4",TRUE
"Seven Sisters Rail Station","910GSEVNSIS","HUBSVS",51.582268,-0.07527,0,FALSE,0,"3",TRUE
"Seven Sisters Underground Station","940GZZLUSVS","HUBSVS",51.58333,-0.072584,0,FALSE,0,"3",TRUE
"Shadwell Rail Station","910GSHADWEL","HUBSDE",51.511284,-0.056934,1,FALSE,0,"2",TRUE
"Shenfield Rail Station","910GSHENFLD","",51.630877,0.329851,3,FALSE,0,"Outside",TRUE
"Shepherd's Bush (Central) Underground Station","940GZZLUSBC","HUBSPB",51.504376,-0.218813,2,FALSE,0,"2",TRUE
"Shepherd's Bush Market Underground Station","940GZZLUSBM","",51.505579,-0.226375,0,FALSE,0,"2",TRUE
"Shepherds Bush Rail Station","910GSHPDSB","HUBSPB",51.505285,-0.217654,2,FALSE,0,"2",TRUE
"Shoreditch High Street Rail Station","910GSHRDHST","",51.523375,-0.075246,2,FALSE,0,"1",FALSE
"Silver Street Rail Station","910GSIVRST","",51.614688,-0.06724,0,FALSE,0,"4",TRUE
"Sloane Square Underground Station","940GZZLUSSQ","",51.49227,-0.156377,0,FALSE,0,"1",TRUE
"Slough Rail Station","910GSLOUGH","",51.51188,-0.59151,3,FALSE,0,"Outside",TRUE
"Snaresbrook Underground Station","940GZZLUSNB","",51.580678,0.02144,0,FALSE,0,"4",TRUE
"South Acton Rail Station","910GSACTON","",51.499695,-0.270157,0,FALSE,2,"3",TRUE
"South Ealing Underground Station","940GZZLUSEA","",51.501003,-0.307424,0,FALSE,0,"3",TRUE
"South Hampstead Rail Station","910GSHMPSTD","",51.541432,-0.178878,0,FALSE,0,"2",FALSE
